Accession,Artwork Title,Artist_Lastname,Artist_FirstName,Medium,Artwork Year,Dimension,BLDGID,School Name,Borough
"11,000",ROOF PROMENADE SCULPTURE,NIVOLA,COSTANTINO,CONCRETE,01/01/1968 12:00:00 AM,,M470,LOUIS D. BRANDEIS HS - MANHATTAN,MANHATTAN
"11,001",RELIEF PANELS,NIVOLA,COSTANTINO,CONCRETE,01/01/1965 12:00:00 AM,,M470,LOUIS D. BRANDEIS HS - MANHATTAN,MANHATTAN
"11,003","""SCULPTURED PANELS""",NIVOLA,COSTANTINO,CONCRETE,01/01/1956 12:00:00 AM,,M013,I.S. 13 - MANHATTAN,MANHATTAN
"11,005",THE LIFE OF SAMUEL DICKSTEIN,GUARDUCCI,OTELLO,CAST STONE,01/01/1967 12:00:00 AM,,M056,J.H.S. 56 - MANHATTAN,MANHATTAN
"11,006",CITY OF MANHATTAN,MATT,JOHN,BRONZE,01/01/1965 12:00:00 AM,,M070,I.S. 70 - MANHATTAN,MANHATTAN
"11,007",BRONZE SCULPTURES,HASTINGS,JACK,BRONZE,01/01/1965 12:00:00 AM,,M501,ARTHUR SCHOMBURG HS (IS 201) - M,MANHATTAN
"11,008","MARTIN LUTHER KING, JR. MEMORIAL",TARR,WILLIAM,"STEEL, WEATHERING",01/01/1973 12:00:00 AM,,M490,"""MARTIN LUTHER KING",399
"17,009","""POTTERY""",TERKEN,JOHN,METAL PAINTED,01/01/1978 12:00:00 AM,,X722,P.S. 721 (OTC) - BRONX,BRONX
"11,010","SUN, BIRDS, AND LIGHT/ EAGLE",LUX,GWEN,MOSAIC,01/01/1959 12:00:00 AM,,M019,P.S. 19 - MANHATTAN,MANHATTAN
"11,010","SUN, BIRDS, AND LIGHT/ EAGLE",LUX,GWEN,GLASS,01/01/1959 12:00:00 AM,,M019,P.S. 19 - MANHATTAN,MANHATTAN
"11,010","SUN, BIRDS, AND LIGHT/ EAGLE",LUX,GWEN,STEEL,01/01/1959 12:00:00 AM,,M019,P.S. 19 - MANHATTAN,MANHATTAN
"11,011",THE WINDOW,GUARDUCCI,OTELLO,CONCRETE,01/01/1967 12:00:00 AM,,M030,P.S. 30 - MANHATTAN,MANHATTAN
"11,012",FABLES OF LA FONTAINE,CALLERY,MARY,"STEEL, PAINTED",01/01/1954 12:00:00 AM,,M034,P.S. 34 - MANHATTAN,MANHATTAN
"11,013",LETTERS,TARR,WILLIAM,"STEEL, WEATHERING",01/01/1967 12:00:00 AM,,K329,P.S. 329 - BROOKLYN,BROOKLYN
"11,015",MORNINGSIDE HEIGHTS,TARR,WILLIAM,"STEEL, WEATHERING",,,M036,P.S. 36 - MANHATTAN,MANHATTAN
"11,016",FRANKLIN STATUE (BENJAMIN),PLASSMANN,ERNST,BRONZE,01/01/1872 12:00:00 AM,,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,MANHATTAN
"11,017",GUTENBERG STATUE (JOHANNES),PLASSMANN,ERNST,BRONZE,,,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,MANHATTAN
"11,018",SCHOOL ACTIVITIES,SPAMPINATO,CLEMENTE,ALUMINUM,01/01/1957 12:00:00 AM,,M002,P.S. 2 - MANHATTAN,MANHATTAN
"11,019","DANCE, TENNIS, BASKETBALL",HORN,MILTON,MAHAGONY,01/01/1936 12:00:00 AM,,M445,SEWARD PARK HS - MANHATTAN,MANHATTAN
"11,021",THE LEGEND OF SLEEPY HOLLOW,GRIMES,FRANCES,PLASTER,01/01/1915 12:00:00 AM,,M460,WASHINGTON IRVING HS - MANHATTAN,MANHATTAN
"11,022",IRVING BAS-RELIEF (WASHINGTON),BRENNER,VICTOR,BRONZE,01/01/1912 12:00:00 AM,,M460,WASHINGTON IRVING HS - MANHATTAN,MANHATTAN
"11,023",LINCOLN TABLET (ABRAHAM),BRENNER,VICTOR,BRONZE,01/01/1915 12:00:00 AM,,M460,WASHINGTON IRVING HS - MANHATTAN,MANHATTAN
"11,100",UNTITLED,STEKEL,JORDAN,"PLASTER, PAINTED",,,Q410,BEACH CHANNEL HS - Q,QUEENS
"11,100",UNTITLED,STEKEL,JORDAN,PLYWOOD,,,Q410,BEACH CHANNEL HS - Q,QUEENS
"11,100",UNTITLED,STEKEL,JORDAN,METAL,,,Q410,BEACH CHANNEL HS - Q,QUEENS
"11,102",UNTITLED (HEXAGONAL SCULPTURE),RAIMIREZ,EDUARDO,"ALUMINUM, PAINTED, EPOXY",01/01/1973 12:00:00 AM,,Q410,BEACH CHANNEL HS - Q,QUEENS
"11,103",INDIAN & SETTLERS,ANONYMOUS,,PLASTER,,,X063,P.S. 63 - BRONX,BRONX
"11,104",GIRL WITH FAWN,SCARAVAGLIONE,CONCETTA,CAST STONE,,,Q445,WILLIAM C. BRYANT HS - Q,QUEENS
"11,105",GIRL WEEDING,ROBUS,HUGO,STONE,,,Q445,WILLIAM C. BRYANT HS - Q,QUEENS
"11,106",LAMBS,NAGY,FRANK,STONE,01/01/1930 12:00:00 AM,,Q445,WILLIAM C. BRYANT HS - Q,QUEENS
"11,107",CULTURAL DEVELOPMENT OF THE UNITED STATES,BAHNMULLER,WILLIAM,MAPLE,01/01/1936 12:00:00 AM,,Q475,RICHMOND HILL HS - Q,QUEENS
"11,108",MOTHER OF KNOWLEDGE,CAVALLARO,VINCENT,CAST STONE,,,Q210,I.S. 210 - QUEENS,QUEENS
"11,109",CHILDREN IN MUSIC (RT) MUSIC AND DANCE (LT),FLERI,JOSEPH,"PLASTER, PAINTED",01/01/1937 12:00:00 AM,,Q150,P.S. 150 - QUEENS,QUEENS
"11,110",REACHING FOR THE STARS (ASPERA AD ASTRA),GILLEN,ANN,"ALUMINUM, PAINTED, ENAMEL",,,Q012,P.S. 12 - QUEENS,QUEENS
"11,111",THE STORY HOUR,LO MEDICO,THOMAS,"ALUMINUM, CAST",01/01/1961 12:00:00 AM,,Q203,P.S. 203 - QUEENS,QUEENS
"11,112","""UNITY, SERENITY, PEACE""",KORAS,GEORGE,"BRONZE, CAST",01/01/1971 12:00:00 AM,,Q237,J.H.S. 237 - QUEENS,QUEENS
"11,113",ASPIRATION OF YOUTH,SPAMPINATO,CLEMENTE,"BRONZE, CAST",01/01/1967 12:00:00 AM,,Q416,CARDOZO AF - QUEENS,QUEENS
"11,114",LOUIS ARMSTRONG,ELL,DOLPH,BRONZE,,,Q227,I.S. 227 - QUEENS,QUEENS
"11,115",JUSTICE BENJAMIN N. CARDOZO,SPAMPINATO,CLEMENTE,BRICK,01/01/1967 12:00:00 AM,,Q415,BENJAMIN N. CARDOZO HS - Q,QUEENS
"11,115",JUSTICE BENJAMIN N. CARDOZO,SPAMPINATO,CLEMENTE,BRONZE,01/01/1967 12:00:00 AM,,Q415,BENJAMIN N. CARDOZO HS - Q,QUEENS
"11,116",WINGED SHADOWS,ADZEMA,ROBERT,"ALUMINUM, PAINTED, ENAMEL",01/01/1986 12:00:00 AM,,Q012,P.S. 12 - QUEENS,QUEENS
"11,117",WW I COMMEMORATIVE PLAQUE,KECK,M. H.,BRONZE,01/01/1921 12:00:00 AM,,Q445,WILLIAM C. BRYANT HS - Q,QUEENS
"11,118",WILLIAM CULLEN BRYANT,BLOCK,ADOLPH,BRONZE,01/01/1934 12:00:00 AM,,Q445,WILLIAM C. BRYANT HS - Q,QUEENS
"11,119","""LIBERTY""",FJELDE,PAUL,BRONZE,01/01/1933 12:00:00 AM,,Q470,JAMAICA HS - QUEENS,QUEENS
"11,120","AS YE SOW, SO SHALL YE REAP",AMATEIS,EDMOND,STONE,01/01/1948 12:00:00 AM,,Q171,P.S. 171 - QUEENS,QUEENS
"11,120","AS YE SOW, SO SHALL YE REAP",AMATEIS,EDMOND,BRONZE,01/01/1948 12:00:00 AM,,Q171,P.S. 171 - QUEENS,QUEENS
"11,122",KNOWLEDGE,TERKEN,JOHN,BRONZE,01/01/1966 12:00:00 AM,,Q072,J.H.S. 72 - QUEENS,QUEENS
"11,123",UNTITLED,NIVOLA,COSTANTINO,"TERRA COTTA, GLAZED",01/01/1960 12:00:00 AM,,Q008,J.H.S. 8 - QUEENS,QUEENS
"11,125",UNTITLED,REINA,CHARLES,"BRONZE, SHEET",01/01/1975 12:00:00 AM,,Q226,I.S. 226 - QUEENS,QUEENS
"11,126",JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT,REINA,CHARLES,PLASTER CAST,01/01/1939 12:00:00 AM,,Q460,FLUSHING HS - Q,QUEENS
"11,126",JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT,REINA,CHARLES,"PLASTER, PAINTED",01/01/1939 12:00:00 AM,,Q460,FLUSHING HS - Q,QUEENS
"11,127","MAQUETTE FOR ""PIONEER MONUMENT""",MACNEIL,HERMAN,"PLASTER, PAINTED",01/01/1920 12:00:00 AM,,Q029,P.S. 29  - QUEENS,QUEENS
"11,129",VAPOR TRAILS,LUX,GWEN,"STEEL, STAINLESS",01/01/1958 12:00:00 AM,,Q610,AVIATION HS - Q,QUEENS
"11,130",THE PURSUIT OF LEARNING 1 & 2,GRIFFIS JR.,LARRY,"STEEL, WEATHERING",01/01/1964 12:00:00 AM,,Q030,P.S. 30 - QUEENS,QUEENS
"11,131",PHYSICAL EDUCATION,SPAMPINATO,CLEMENTE,BRONZE,01/01/1961 12:00:00 AM,,Q093,I.S. 93 - QUEENS,QUEENS
"11,132",UNTITLED,REINA,CHARLES,"BRONZE, SHEET",01/01/1975 12:00:00 AM,,Q053,I.S. 53 - QUEENS,QUEENS
"11,133",TRAGEDY AND COMEDY,KAZ,NATHANEL,"ALUMINUM, PAINTED, ENAMEL",01/01/1959 12:00:00 AM,,Q194,J.H.S. 194 - QUEENS,QUEENS
"11,134",UNTITLED,HASTINGS,JACK,"BRONZE, CAST",01/01/1962 12:00:00 AM,,Q183,P.S. 183 - QUEENS,QUEENS
"11,135",CHILDREN AT PLAY,HEBALD,MILTON,"BRONZE, CAST",01/01/1972 12:00:00 AM,,Q086,P.S. 86 - QUEENS,QUEENS
"11,137","""MYTHOLOGICAL CREATURES""",HASTINGS,JACK,TERRA COTTA,01/01/1963 12:00:00 AM,,Q197,P.S. 197 - QUEENS,QUEENS
"11,138",EDUCATION AND ATHLETICS,HEBALD,MILTON,"BRONZE, CAST",01/01/1972 12:00:00 AM,,Q505,HILLCREST HS - QUEENS,QUEENS
"11,139",THOMAS ALVA  EDISON,TERKEN,JOHN,"BRONZE, CAST",01/01/1957 12:00:00 AM,,Q620,THOMAS A. EDISON VOC HS - Q,QUEENS
"11,200",BASKETBALL PLAYERS,GROSS,CHAIM,"WOOD, CARVED",01/01/1935 12:00:00 AM,,K410,ABRAHAM LINCOLN HS - K,BROOKLYN
"11,201","""PROTECTION""",RUBITSCHUNG,FRANCOIS,"PLASTER, PAINTED",01/01/1937 12:00:00 AM,,K008,P.S. 8 - BROOKLYN,BROOKLYN
"11,202","""AVIATOR""",ANONYMOUS,,PLASTER,01/01/1937 12:00:00 AM,,K008,P.S. 8 - BROOKLYN,BROOKLYN
"11,203",LITERATURE,ROBUS,HUGO,"PLASTER, PAINTED",01/01/1937 12:00:00 AM,,Q801,OSSS / DSF - QUEENS,QUEENS
